start_node,end_node,weigth
115,115,0.8846153846153846
115,116,0.11538461538461539
116,116,0.8604651162790697
116,180,0.13953488372093023
117,117,0.6296296296296295
117,139,0.1111111111111111
117,180,0.14814814814814814
117,204,0.1111111111111111
118,140,0.14285714285714285
118,181,0.3333333333333333
135,116,0.13636363636363635
135,156,0.13636363636363635
135,180,0.18181818181818182
135,204,0.13636363636363635
136,135,0.1935483870967742
136,136,0.8064516129032258
137,180,0.16071428571428573
138,117,0.1111111111111111
138,180,0.125
139,139,0.7448275862068966
139,181,0.11724137931034483
139,204,0.13793103448275862
140,140,0.875
140,181,0.125
141,141,0.7200000000000001
141,162,0.16
141,182,0.12
153,154,0.13043478260869565
153,174,0.13043478260869565
153,195,0.13043478260869565
154,154,1.0
155,155,0.819672131147541
155,156,0.18032786885245902
156,155,0.14285714285714285
156,156,0.7142857142857144
156,180,0.14285714285714285
157,157,0.75
157,179,0.10714285714285714
157,180,0.14285714285714285
158,179,0.10989010989010989
158,180,0.10989010989010989
158,204,0.12087912087912088
159,138,0.10588235294117647
159,180,0.16470588235294117
160,160,0.7674418604651163
160,181,0.12403100775193798
160,204,0.10852713178294573
161,161,1.0
162,161,0.14705882352941177
162,181,0.11764705882352941
174,152,0.17647058823529413
174,153,0.11764705882352941
174,174,0.7058823529411765
176,180,0.18181818181818182
176,181,0.18181818181818182
177,177,1.0
178,180,0.1044776119402985
179,179,1.0
180,180,1.0
181,204,0.15800865800865802
182,182,0.868020304568528
182,204,0.1319796954314721
183,183,0.6857142857142857
183,202,0.11428571428571428
183,204,0.2
184,184,0.7142857142857144
184,205,0.2857142857142857
185,206,0.23076923076923078
197,178,0.11904761904761904
197,197,0.8809523809523809
198,198,0.861111111111111
198,199,0.1388888888888889
199,204,0.3644067796610169
201,204,0.1414141414141414
202,204,0.14803625377643503
203,204,0.135678391959799
205,204,0.12173913043478261
205,205,0.7565217391304349
205,243,0.12173913043478261
206,206,0.873015873015873
206,226,0.12698412698412698
207,207,0.7441860465116279
207,208,0.13953488372093023
207,307,0.11627906976744186
208,207,0.15
208,227,0.15
208,228,0.45
216,201,0.125
216,204,0.5
216,222,0.1875
219,220,0.1
219,222,0.1
220,201,0.18699186991869918
220,219,0.21951219512195122
221,204,0.1853932584269663
222,204,0.24583333333333332
223,204,0.3343558282208589
224,204,0.26063829787234044
225,204,0.12195121951219512
225,205,0.17073170731707318
225,225,0.5853658536585364
225,226,0.12195121951219512
226,204,0.17857142857142858
226,226,0.6875
226,247,0.13392857142857142
227,227,1.0
228,207,0.11864406779661017
228,228,0.6271186440677966
228,229,0.11864406779661017
228,250,0.13559322033898305
229,204,0.2
229,228,0.2
229,249,0.16
229,250,0.12
239,239,0.6428571428571428
239,240,0.10714285714285714
239,259,0.25
240,239,0.19047619047619047
241,241,0.8363636363636363
241,262,0.16363636363636364
242,204,0.11009174311926606
242,242,0.8899082568807339
243,204,0.11594202898550725
244,204,0.3275862068965517
245,204,0.3333333333333333
246,204,0.2125
246,246,0.7875
247,204,0.14814814814814814
247,226,0.12962962962962962
248,229,0.13414634146341464
248,247,0.15853658536585366
248,248,0.7073170731707317
249,249,1.0
250,204,0.14893617021276595
250,229,0.10638297872340426
250,249,0.14893617021276595
250,250,0.5957446808510638
259,201,0.1
259,239,0.6
259,240,0.1
259,259,0.2
260,220,0.13953488372093023
260,240,0.27906976744186046
261,282,0.18181818181818182
262,243,0.11023622047244094
262,262,0.889763779527559
263,202,0.1346153846153846
263,243,0.1346153846153846
263,262,0.17307692307692307
264,204,0.15384615384615385
264,286,0.21153846153846154
265,204,0.4049586776859504
266,204,0.2361111111111111
266,266,0.6388888888888888
266,287,0.125
267,181,0.19718309859154928
267,203,0.16901408450704225
268,223,0.10526315789473684
282,204,0.25
282,282,0.75
283,304,0.36
285,202,0.14705882352941177
285,286,0.17647058823529413
286,286,1.0
287,287,1.0
288,203,0.10526315789473684
288,244,0.15789473684210525
288,269,0.10526315789473684
288,286,0.15789473684210525
288,287,0.21052631578947367
304,283,0.4117647058823529
304,304,0.4117647058823529
304,305,0.17647058823529413
305,305,1.0
307,204,0.33636363636363636
308,202,0.1724137931034483
308,286,0.10344827586206896
308,306,0.10344827586206896
328,178,0.19230769230769232
328,241,0.2692307692307692
328,286,0.11538461538461539
118,118,0.5238095238095238
135,135,0.40909090909090917
137,137,0.8392857142857143
138,138,0.7638888888888888
153,153,0.6086956521739131
158,158,0.6593406593406593
159,159,0.7294117647058824
162,162,0.7352941176470589
176,176,0.6363636363636364
178,178,0.8955223880597015
181,181,0.841991341991342
185,185,0.7692307692307692
199,199,0.6355932203389831
201,201,0.8585858585858586
202,202,0.851963746223565
203,203,0.864321608040201
208,208,0.25
216,216,0.1875
219,219,0.8
220,220,0.5934959349593496
221,221,0.8146067415730337
222,222,0.7541666666666667
223,223,0.665644171779141
224,224,0.7393617021276595
229,229,0.31999999999999995
240,240,0.8095238095238095
243,243,0.8840579710144928
244,244,0.6724137931034483
245,245,0.6666666666666667
247,247,0.7222222222222222
260,260,0.5813953488372093
261,261,0.8181818181818181
263,263,0.5576923076923077
264,264,0.6346153846153846
265,265,0.5950413223140496
267,267,0.6338028169014085
268,268,0.8947368421052632
283,283,0.64
285,285,0.6764705882352942
288,288,0.26315789473684215
307,307,0.6636363636363636
308,308,0.6206896551724138
328,328,0.423076923076923
204,204,1.0
195,195,1.0
152,152,1.0
269,269,1.0
306,306,1.0
